Ceiling type,Deck construction,Attic ventilation,Attic fan,Radiant barrier,Roofing material,Roof color,Insulation,R-value,Extended Construction Numbers,Look-Up Construction Number,Notes,Total Price
Ceiling below roof joists,,,,,Asphalt shingles,Light,Blanket or loose fill,R-15,18B-15 al,18B-15,,5070.590604537119
Ceiling below roof joists,,,,,Asphalt shingles,Light,Blanket or loose fill,R-19,18B-19 al,18B-19,,7454.061449922932
Ceiling below roof joists,,,,,Asphalt shingles,Light,Blanket or loose fill,R-21,18B-21 al,18B-21,,7433.391375891402
Ceiling below roof joists,,,,,Asphalt shingles,Light,Blanket or loose fill,R-30,18B-30 al,18B-30,,4580.851149449709
Ceiling below roof joists,,,,,Asphalt shingles,Light,Blanket or loose fill,R-38,18B-38 al,18B-38,,7064.672012499723
Ceiling below roof joists,,,,,Asphalt shingles,Light,Board insulation,R-2,18B-2 al,18B-2,,7319.682635795794
Ceiling below roof joists,,,,,Asphalt shingles,Light,Board insulation,R-3,18B-3 al,18B-3,,7405.253814911221
Ceiling below roof joists,,,,,Asphalt shingles,Light,Board insulation,R-4,18B-4 al,18B-4,,6050.812488524978
Ceiling below roof joists,,,,,Asphalt shingles,Light,Board insulation,R-5,18B-5 al,18B-5,,6227.432751057206
Ceiling below roof joists,,,,,Asphalt shingles,Light,Board insulation,R-6,18B-6 al,18B-6,,8547.440712775477
Ceiling below roof joists,,,,,Asphalt shingles,Light,Board insulation,R-8,18B-8 al,18B-8,,5869.708995109654
Ceiling below roof joists,,,,,Asphalt shingles,Light,Board insulation,R-10,18B-10 al,18B-10,,5677.243654559338
Ceiling below roof joists,,,,,Asphalt shingles,White,None,,18B-0 aw,18B-0,,5369.489016377496
Ceiling below roof joists,,,,,Asphalt shingles,White,Blanket or loose fill,R-11,18B-11 aw,18B-11,,5179.276526452513
Ceiling below roof joists,,,,,Asphalt shingles,White,Blanket or loose fill,R-13,18B-13 aw,18B-13,,5680.66230478313
Ceiling below roof joists,,,,,Asphalt shingles,White,Blanket or loose fill,R-15,18B-15 aw,18B-15,,6294.571970448516
Ceiling below roof joists,,,,,Asphalt shingles,White,Blanket or loose fill,R-19,18B-19 aw,18B-19,,6966.433568164313
Ceiling below roof joists,,,,,Asphalt shingles,White,Blanket or loose fill,R-21,18B-21 aw,18B-21,,6335.5485695699135
Ceiling below roof joists,,,,,Asphalt shingles,White,Blanket or loose fill,R-30,18B-30 aw,18B-30,,7446.412689803701
Ceiling below roof joists,,,,,Asphalt shingles,White,Blanket or loose fill,R-38,18B-38 aw,18B-38,,7662.03148334641
Ceiling below roof joists,,,,,Asphalt shingles,White,Board insulation,R-2,18B-2 aw,18B-2,,6220.107217314249
Ceiling below roof joists,,,,,Asphalt shingles,White,Board insulation,R-3,18B-3 aw,18B-3,,8538.404488140652
Ceiling below roof joists,,,,,Asphalt shingles,White,Board insulation,R-4,18B-4 aw,18B-4,,9084.500095716816
Ceiling below roof joists,,,,,Asphalt shingles,White,Board insulation,R-5,18B-5 aw,18B-5,,6240.645026595742
Ceiling below roof joists,,,,,Asphalt shingles,White,Board insulation,R-6,18B-6 aw,18B-6,,6906.236945253671
Ceiling below roof joists,,,,,Asphalt shingles,White,Board insulation,R-8,18B-8 aw,18B-8,,5157.767096956562
Ceiling below roof joists,,,,,Asphalt shingles,White,Board insulation,R-10,18B-10 aw,18B-10,,5692.70790005547
Ceiling below roof joists,,,,,Membrane,Dark,None,,18A-0 zd,18A-0,,7846.207432479016
Ceiling below roof joists,,,,,Membrane,Dark,Blanket or loose fill,R-11,18A-11 zd,18A-11,,5803.95427103075
Ceiling below roof joists,,,,,Membrane,Dark,Blanket or loose fill,R-13,18A-13 zd,18A-13,,6415.839912639427
Ceiling below roof joists,,,,,Membrane,Dark,Blanket or loose fill,R-15,18A-15 zd,18A-15,,5654.951794925333
Ceiling below roof joists,,,,,Membrane,Dark,Blanket or loose fill,R-19,18A-19 zd,18A-19,,6790.486426508956
Ceiling below roof joists,,,,,Membrane,Dark,Blanket or loose fill,R-21,18A-21 zd,18A-21,,6694.050922594826
Ceiling below roof joists,,,,,Membrane,Dark,Blanket or loose fill,R-30,18A-30 zd,18A-30,,7505.005834730625
Ceiling below roof joists,,,,,Membrane,Dark,Blanket or loose fill,R-38,18A-38 zd,18A-38,,5394.562138204784
Ceiling below roof joists,,,,,Membrane,Dark,Board insulation,R-2,18A-2 zd,18A-2,,8040.344706028613
Ceiling below roof joists,,,,,Membrane,Dark,Board insulation,R-3,18A-3 zd,18A-3,,6371.966830946043
Ceiling below roof joists,,,,,Membrane,Dark,Board insulation,R-4,18A-4 zd,18A-4,,5827.366987647705
Ceiling below roof joists,,,,,Membrane,Dark,Board insulation,R-5,18A-5 zd,18A-5,,4873.837157967526
Ceiling below roof joists,,,,,Membrane,Dark,Board insulation,R-6,18A-6 zd,18A-6,,4785.5253098101375
Ceiling below roof joists,,,,,Membrane,Dark,Board insulation,R-8,18A-8 zd,18A-8,,4992.529913279028
Ceiling below roof joists,,,,,Membrane,Dark,Board insulation,R-10,18A-10 zd,18A-10,,6288.352866910776
Ceiling below roof joists,,,,,Membrane,Light,None,,18B-0 zl,18B-0,,6484.694168789055
Ceiling below roof joists,,,,,Membrane,Light,Blanket or loose fill,R-11,18B-11 zl,18B-11,,7529.041953838927
Ceiling below roof joists,,,,,Membrane,Light,Blanket or loose fill,R-13,18B-13 zl,18B-13,,7604.9333000815295
Ceiling below roof joists,,,,,Membrane,Light,Blanket or loose fill,R-15,18B-15 zl,18B-15,,5102.236041378394
Ceiling below roof joists,,,,,Membrane,Light,Blanket or loose fill,R-19,18B-19 zl,18B-19,,8335.065325283975
Ceiling below roof joists,,,,,Membrane,Light,Blanket or loose fill,R-21,18B-21 zl,18B-21,,7113.7229636347465
Ceiling below roof joists,,,,,Membrane,Light,Blanket or loose fill,R-30,18B-30 zl,18B-30,,7101.995607319432
Ceiling below roof joists,,,,,Membrane,Light,Blanket or loose fill,R-38,18B-38 zl,18B-38,,8077.883639610708
Ceiling below roof joists,,,,,Membrane,Light,Board insulation,R-2,18B-2 zl,18B-2,,7533.630996237655
Ceiling below roof joists,,,,,Membrane,Light,Board insulation,R-3,18B-3 zl,18B-3,,7053.8620540988795
Ceiling below roof joists,,,,,Membrane,Light,Board insulation,R-4,18B-4 zl,18B-4,,7320.778644681126
Ceiling below roof joists,,,,,Membrane,Light,Board insulation,R-5,18B-5 zl,18B-5,,7475.742930325719
Ceiling below roof joists,,,,,Membrane,Light,Board insulation,R-6,18B-6 zl,18B-6,,7025.397052658706
Ceiling below roof joists,,,,,Membrane,Light,Board insulation,R-8,18B-8 zl,18B-8,,6804.690075517151
Ceiling below roof joists,,,,,Membrane,Light,Board insulation,R-10,18B-10 zl,18B-10,,6623.267290019884
Ceiling below roof joists,,,,,Membrane,White,None,,18C-0 zw,18C-0,,8421.200964300338
Ceiling below roof joists,,,,,Membrane,White,Blanket or loose fill,R-11,18C-11 zw,18C-11,,7632.685268901481
Ceiling below roof joists,,,,,Membrane,White,Blanket or loose fill,R-13,18C-13 zw,18C-13,,6290.6051334663325
Ceiling below roof joists,,,,,Membrane,White,Blanket or loose fill,R-15,18C-15 zw,18C-15,,5970.005711186994
Ceiling below roof joists,,,,,Membrane,White,Blanket or loose fill,R-19,18C-19 zw,18C-19,,6401.5517355581105
Ceiling below roof joists,,,,,Membrane,White,Blanket or loose fill,R-21,18C-21 zw,18C-21,,8911.421740197711
Ceiling below roof joists,,,,,Membrane,White,Blanket or loose fill,R-30,18C-30 zw,18C-30,,6881.008139642741
Ceiling below roof joists,,,,,Membrane,White,Blanket or loose fill,R-38,18C-38 zw,18C-38,,7054.467752543964
Ceiling below roof joists,,,,,Membrane,White,Board insulation,R-2,18C-2 zw,18C-2,,6050.910186129659
Ceiling below roof joists,,,,,Membrane,White,Board insulation,R-3,18C-3 zw,18C-3,,6778.907483622861
Ceiling below roof joists,,,,,Membrane,White,Board insulation,R-4,18C-4 zw,18C-4,,4387.5822484880855
Ceiling below roof joists,,,,,Membrane,White,Board insulation,R-5,18C-5 zw,18C-5,,9486.397838165634
Ceiling below roof joists,,,,,Membrane,White,Board insulation,R-6,18C-6 zw,18C-6,,6916.184486367739
Ceiling below roof joists,,,,,Membrane,White,Board insulation,R-8,18C-8 zw,18C-8,,6243.310311015563
Ceiling below roof joists,,,,,Membrane,White,Board insulation,R-10,18C-10 zw,18C-10,,6242.435636490798
Ceiling below roof joists,,,,,Metal,Dark,None,,18A-0 md,18A-0,,5572.625191929949
Ceiling below roof joists,,,,,Metal,Dark,Blanket or loose fill,R-11,18A-11 md,18A-11,,5693.092835709164
Ceiling below roof joists,,,,,Metal,Dark,Blanket or loose fill,R-13,18A-13 md,18A-13,,9817.334387884062
Ceiling below roof joists,,,,,Metal,Dark,Blanket or loose fill,R-15,18A-15 md,18A-15,,6031.0637495068
Ceiling below roof joists,,,,,Metal,Dark,Blanket or loose fill,R-19,18A-19 md,18A-19,,8144.185155694568
Ceiling below roof joists,,,,,Metal,Dark,Blanket or loose fill,R-21,18A-21 md,18A-21,,6256.239964709673
Ceiling below roof joists,,,,,Metal,Dark,Blanket or loose fill,R-30,18A-30 md,18A-30,,5953.867825627045
Ceiling below roof joists,,,,,Metal,Dark,Blanket or loose fill,R-38,18A-38 md,18A-38,,9084.978478121517
Ceiling below roof joists,,,,,Metal,Dark,Board insulation,R-2,18A-2 md,18A-2,,6459.213558277808
Ceiling below roof joists,,,,,Metal,Dark,Board insulation,R-3,18A-3 md,18A-3,,6027.633006613011
Ceiling below roof joists,,,,,Metal,Dark,Board insulation,R-4,18A-4 md,18A-4,,5781.106141743588
Ceiling below roof joists,,,,,Metal,Dark,Board insulation,R-5,18A-5 md,18A-5,,5452.625675130894
Ceiling below roof joists,,,,,Metal,Dark,Board insulation,R-6,18A-6 md,18A-6,,5796.363908288977
Ceiling below roof joists,,,,,Metal,Dark,Board insulation,R-8,18A-8 md,18A-8,,6982.629220101565
Ceiling below roof joists,,,,,Metal,Dark,Board insulation,R-10,18A-10 md,18A-10,,7732.6594182325025
Ceiling below roof joists,,,,,Metal,Light,None,,18B-0 ml,18B-0,,6538.263751595687
Ceiling below roof joists,,,,,Metal,Light,Blanket or loose fill,R-11,18B-11 ml,18B-11,,6920.856387886975
Ceiling below roof joists,,,,,Metal,Light,Blanket or loose fill,R-13,18B-13 ml,18B-13,,6768.084272774478
Ceiling below roof joists,,,,,Metal,Light,Blanket or loose fill,R-15,18B-15 ml,18B-15,,5413.62879678876
Ceiling below roof joists,,,,,Metal,Light,Blanket or loose fill,R-19,18B-19 ml,18B-19,,9303.721519891056
Ceiling below roof joists,,,,,Metal,Light,Blanket or loose fill,R-21,18B-21 ml,18B-21,,5326.741103326276
Ceiling below roof joists,,,,,Metal,Light,Blanket or loose fill,R-30,18B-30 ml,18B-30,,7223.0082590870825
Ceiling below roof joists,,,,,Metal,Light,Blanket or loose fill,R-38,18B-38 ml,18B-38,,8612.581463113613
Ceiling below roof joists,,,,,Metal,Light,Board insulation,R-2,18B-2 ml,18B-2,,4083.6223614014607
Ceiling below roof joists,,,,,Metal,Light,Board insulation,R-3,18B-3 ml,18B-3,,8406.63459255015
Ceiling below roof joists,,,,,Metal,Light,Board insulation,R-4,18B-4 ml,18B-4,,7886.594679511707
Ceiling below roof joists,,,,,Metal,Light,Board insulation,R-5,18B-5 ml,18B-5,,6247.9865761435985
Ceiling below roof joists,,,,,Metal,Light,Board insulation,R-6,18B-6 ml,18B-6,,7751.950763596509
Ceiling below roof joists,,,,,Metal,Light,Board insulation,R-8,18B-8 ml,18B-8,,5556.704818512026
Ceiling below roof joists,,,,,Metal,Light,Board insulation,R-10,18B-10 ml,18B-10,,8884.69035913255
Ceiling below roof joists,,,,,Metal,White,None,,18C-0 mw,18C-0,,7203.4220101983965
Ceiling below roof joists,,,,,Metal,White,Blanket or loose fill,R-11,18C-11 mw,18C-11,,6864.922065530225
Ceiling below roof joists,,,,,Metal,White,Blanket or loose fill,R-13,18C-13 mw,18C-13,,6140.005983347169
Ceiling below roof joists,,,,,Metal,White,Blanket or loose fill,R-15,18C-15 mw,18C-15,,8405.527716629134
Ceiling below roof joists,,,,,Metal,White,Blanket or loose fill,R-19,18C-19 mw,18C-19,,6889.622507091365
Ceiling below roof joists,,,,,Metal,White,Blanket or loose fill,R-21,18C-21 mw,18C-21,,8942.60746538751
Ceiling below roof joists,,,,,Metal,White,Blanket or loose fill,R-30,18C-30 mw,18C-30,,6433.8577584192235
Ceiling below roof joists,,,,,Metal,White,Blanket or loose fill,R-38,18C-38 mw,18C-38,,5846.405710660973
Ceiling below roof joists,,,,,Metal,White,Board insulation,R-2,18C-2 mw,18C-2,,6240.624651579847
Ceiling below roof joists,,,,,Metal,White,Board insulation,R-3,18C-3 mw,18C-3,,8410.050126443464
Ceiling below roof joists,,,,,Metal,White,Board insulation,R-4,18C-4 mw,18C-4,,8862.239943440833
Ceiling below roof joists,,,,,Metal,White,Board insulation,R-5,18C-5 mw,18C-5,,7664.172548696798
Ceiling below roof joists,,,,,Metal,White,Board insulation,R-6,18C-6 mw,18C-6,,6356.120176648063
Ceiling below roof joists,,,,,Metal,White,Board insulation,R-8,18C-8 mw,18C-8,,7446.613151033685
Ceiling below roof joists,,,,,Metal,White,Board insulation,R-10,18C-10 mw,18C-10,,7839.264278449954
Ceiling below roof joists,,,,,Tar and gravel,Dark,None,,18A-0 xd,18A-0,,4708.144477012784
Ceiling below roof joists,,,,,Tar and gravel,Dark,Blanket or loose fill,R-11,18A-11 xd,18A-11,,6111.19898967364
Ceiling below roof joists,,,,,Tar and gravel,Dark,Blanket or loose fill,R-13,18A-13 xd,18A-13,,4654.9561756497205
Ceiling below roof joists,,,,,Tar and gravel,Dark,Blanket or loose fill,R-15,18A-15 xd,18A-15,,6150.189259891354
Ceiling below roof joists,,,,,Tar and gravel,Dark,Blanket or loose fill,R-19,18A-19 xd,18A-19,,6702.948482992176
Ceiling below roof joists,,,,,Tar and gravel,Dark,Blanket or loose fill,R-21,18A-21 xd,18A-21,,4353.191924727221
Ceiling below roof joists,,,,,Tar and gravel,Dark,Blanket or loose fill,R-30,18A-30 xd,18A-30,,4922.502190306646
Ceiling below roof joists,,,,,Tar and gravel,Dark,Blanket or loose fill,R-38,18A-38 xd,18A-38,,4647.974064243478
Ceiling below roof joists,,,,,Tar and gravel,Dark,Board insulation,R-2,18A-2 xd,18A-2,,6982.473112997931
Ceiling below roof joists,,,,,Tar and gravel,Dark,Board insulation,R-3,18A-3 xd,18A-3,,7277.714847556759
Ceiling below roof joists,,,,,Tar and gravel,Dark,Board insulation,R-4,18A-4 xd,18A-4,,6929.5001980459465
Ceiling below roof joists,,,,,Tar and gravel,Dark,Board insulation,R-5,18A-5 xd,18A-5,,9186.499343360914
Ceiling below roof joists,,,,,Tar and gravel,Dark,Board insulation,R-6,18A-6 xd,18A-6,,8029.93070564853
Ceiling below roof joists,,,,,Tar and gravel,Dark,Board insulation,R-8,18A-8 xd,18A-8,,7706.959791274142
Ceiling below roof joists,,,,,Tar and gravel,Dark,Board insulation,R-10,18A-10 xd,18A-10,,8689.379417191154
Ceiling below roof joists,,,,,Tar and gravel,Light,None,,18B-0 xl,18B-0,,5860.286080294918
Ceiling below roof joists,,,,,Tar and gravel,Light,Blanket or loose fill,R-11,18B-11 xl,18B-11,,5800.121527746807
Ceiling below roof joists,,,,,Tar and gravel,Light,Blanket or loose fill,R-13,18B-13 xl,18B-13,,8685.132551878152
Ceiling below roof joists,,,,,Tar and gravel,Light,Blanket or loose fill,R-15,18B-15 xl,18B-15,,6733.355619919248
Ceiling below roof joists,,,,,Tar and gravel,Light,Blanket or loose fill,R-19,18B-19 xl,18B-19,,7808.580521150552
Ceiling below roof joists,,,,,Tar and gravel,Light,Blanket or loose fill,R-21,18B-21 xl,18B-21,,8380.191507640788
Ceiling below roof joists,,,,,Tar and gravel,Light,Blanket or loose fill,R-30,18B-30 xl,18B-30,,7223.3211663249385
Ceiling below roof joists,,,,,Tar and gravel,Light,Blanket or loose fill,R-38,18B-38 xl,18B-38,,6079.768707844223
Ceiling below roof joists,,,,,Tar and gravel,Light,Board insulation,R-2,18B-2 xl,18B-2,,8327.842139398324
Ceiling below roof joists,,,,,Tar and gravel,Light,Board insulation,R-3,18B-3 xl,18B-3,,8365.762755063577
Ceiling below roof joists,,,,,Tar and gravel,Light,Board insulation,R-4,18B-4 xl,18B-4,,6458.054448130343
Ceiling below roof joists,,,,,Tar and gravel,Light,Board insulation,R-5,18B-5 xl,18B-5,,6259.001855711667
Ceiling below roof joists,,,,,Tar and gravel,Light,Board insulation,R-6,18B-6 xl,18B-6,,7031.244048239765
Ceiling below roof joists,,,,,Tar and gravel,Light,Board insulation,R-8,18B-8 xl,18B-8,,6073.214618972328
Ceiling below roof joists,,,,,Tar and gravel,Light,Board insulation,R-10,18B-10 xl,18B-10,,7176.148352354079
Ceiling below roof joists,,,,,Tile,Dark,None,,18B-0 td,18B-0,,8082.433431599282
Ceiling below roof joists,,,,,Tile,Dark,Blanket or loose fill,R-11,18B-11 td,18B-11,,4845.779401029919
Ceiling below roof joists,,,,,Tile,Dark,Blanket or loose fill,R-13,18B-13 td,18B-13,,6313.115071762844
Ceiling below roof joists,,,,,Tile,Dark,Blanket or loose fill,R-15,18B-15 td,18B-15,,9867.386807706214
Ceiling below roof joists,,,,,Tile,Dark,Blanket or loose fill,R-19,18B-19 td,18B-19,,7010.51384004125
Ceiling below roof joists,,,,,Tile,Dark,Blanket or loose fill,R-21,18B-21 td,18B-21,,5198.402503431413
Ceiling below roof joists,,,,,Tile,Dark,Blanket or loose fill,R-30,18B-30 td,18B-30,,5910.805455625388
Ceiling below roof joists,,,,,Tile,Dark,Blanket or loose fill,R-38,18B-38 td,18B-38,,6904.81846235445
Ceiling below roof joists,,,,,Tile,Dark,Board insulation,R-2,18B-2 td,18B-2,,7674.791299575858
Ceiling below roof joists,,,,,Tile,Dark,Board insulation,R-3,18B-3 td,18B-3,,8045.675656872196
Ceiling below roof joists,,,,,Tile,Dark,Board insulation,R-4,18B-4 td,18B-4,,6196.961943510046
Ceiling below roof joists,,,,,Tile,Dark,Board insulation,R-5,18B-5 td,18B-5,,5549.113160332387
Ceiling below roof joists,,,,,Tile,Dark,Board insulation,R-6,18B-6 td,18B-6,,5285.757296289083
Ceiling below roof joists,,,,,Tile,Dark,Board insulation,R-8,18B-8 td,18B-8,,7678.7789545101305
Ceiling below roof joists,,,,,Tile,Dark,Board insulation,R-10,18B-10 td,18B-10,,7412.874844542784
Ceiling below roof joists,,,,,Tile,Light,None,,18C-0 tl,18C-0,,6524.618712451206
Ceiling below roof joists,,,,,Tile,Light,Blanket or loose fill,R-11,18C-11 tl,18C-11,,6941.86871809292
Ceiling below roof joists,,,,,Tile,Light,Blanket or loose fill,R-13,18C-13 tl,18C-13,,7009.60843437958
Ceiling below roof joists,,,,,Tile,Light,Blanket or loose fill,R-15,18C-15 tl,18C-15,,6071.118411203365
Ceiling below roof joists,,,,,Tile,Light,Blanket or loose fill,R-19,18C-19 tl,18C-19,,6857.889502858137
Ceiling below roof joists,,,,,Tile,Light,Blanket or loose fill,R-21,18C-21 tl,18C-21,,7793.792932131191
Ceiling below roof joists,,,,,Tile,Light,Blanket or loose fill,R-30,18C-30 tl,18C-30,,5520.61688712023
Ceiling below roof joists,,,,,Tile,Light,Blanket or loose fill,R-38,18C-38 tl,18C-38,,6475.016499878353
Ceiling below roof joists,,,,,Tile,Light,Board insulation,R-2,18C-2 tl,18C-2,,7946.477351431498
Ceiling below roof joists,,,,,Tile,Light,Board insulation,R-3,18C-3 tl,18C-3,,6902.545532969975
Ceiling below roof joists,,,,,Tile,Light,Board insulation,R-4,18C-4 tl,18C-4,,8282.601259349993
Ceiling below roof joists,,,,,Tile,Light,Board insulation,R-5,18C-5 tl,18C-5,,5935.012990689511
Ceiling below roof joists,,,,,Tile,Light,Board insulation,R-6,18C-6 tl,18C-6,,5851.618916249666
Ceiling below roof joists,,,,,Tile,Light,Board insulation,R-8,18C-8 tl,18C-8,,7666.625536992767
Ceiling below roof joists,,,,,Tile,Light,Board insulation,R-10,18C-10 tl,18C-10,,6573.056776978033
Ceiling below roof joists,,,,,Tile,White,None,,18C-0 tw,18C-0,,6377.82844063373
Ceiling below roof joists,,,,,Tile,White,Blanket or loose fill,R-11,18C-11 tw,18C-11,,4403.1867378940615
Ceiling below roof joists,,,,,Tile,White,Blanket or loose fill,R-13,18C-13 tw,18C-13,,5813.00612455131
Ceiling below roof joists,,,,,Tile,White,Blanket or loose fill,R-15,18C-15 tw,18C-15,,5127.659179084465
Ceiling below roof joists,,,,,Tile,White,Blanket or loose fill,R-19,18C-19 tw,18C-19,,5534.712950578474
Ceiling below roof joists,,,,,Tile,White,Blanket or loose fill,R-21,18C-21 tw,18C-21,,4787.074694640087
Ceiling below roof joists,,,,,Tile,White,Blanket or loose fill,R-30,18C-30 tw,18C-30,,4742.82173781736
Ceiling below roof joists,,,,,Tile,White,Blanket or loose fill,R-38,18C-38 tw,18C-38,,7910.489899298542
Ceiling below roof joists,,,,,Tile,White,Board insulation,R-2,18C-2 tw,18C-2,,6478.584550489239
Ceiling below roof joists,,,,,Tile,White,Board insulation,R-3,18C-3 tw,18C-3,,6022.442758794531
Ceiling below roof joists,,,,,Tile,White,Board insulation,R-4,18C-4 tw,18C-4,,5440.360040810636
Ceiling below roof joists,,,,,Tile,White,Board insulation,R-5,18C-5 tw,18C-5,,7745.467894881535
Ceiling below roof joists,,,,,Tile,White,Board insulation,R-6,18C-6 tw,18C-6,,6671.072160731743
Ceiling below roof joists,,,,,Tile,White,Board insulation,R-8,18C-8 tw,18C-8,,6011.2193879855395
Ceiling below roof joists,,,,,Tile,White,Board insulation,R-10,18C-10 tw,18C-10,,8590.062450279893
Ceiling below roof joists,,,,,Wood shakes,Dark,None,,18B-0 wd,18B-0,,6446.015510001325
Ceiling below roof joists,,,,,Wood shakes,Dark,Blanket or loose fill,R-11,18B-11 wd,18B-11,,7219.761433905417
Ceiling below roof joists,,,,,Wood shakes,Dark,Blanket or loose fill,R-13,18B-13 wd,18B-13,,6586.677349520296
Ceiling below roof joists,,,,,Wood shakes,Dark,Blanket or loose fill,R-15,18B-15 wd,18B-15,,6192.216775729024
Ceiling below roof joists,,,,,Wood shakes,Dark,Blanket or loose fill,R-19,18B-19 wd,18B-19,,5383.817313626241
Ceiling below roof joists,,,,,Wood shakes,Dark,Blanket or loose fill,R-21,18B-21 wd,18B-21,,6420.355950736189
Ceiling below roof joists,,,,,Wood shakes,Dark,Blanket or loose fill,R-30,18B-30 wd,18B-30,,5390.643194839142
Ceiling below roof joists,,,,,Wood shakes,Dark,Blanket or loose fill,R-38,18B-38 wd,18B-38,,8633.714216504377
Ceiling below roof joists,,,,,Wood shakes,Dark,Board insulation,R-2,18B-2 wd,18B-2,,7400.5757451011705
Ceiling below roof joists,,,,,Wood shakes,Dark,Board insulation,R-3,18B-3 wd,18B-3,,5179.238043183591
Ceiling below roof joists,,,,,Wood shakes,Dark,Board insulation,R-4,18B-4 wd,18B-4,,6841.318949334887
Ceiling below roof joists,,,,,Wood shakes,Dark,Board insulation,R-5,18B-5 wd,18B-5,,6130.2807072572405
Ceiling below roof joists,,,,,Wood shakes,Dark,Board insulation,R-6,18B-6 wd,18B-6,,7732.877260059245
Ceiling below roof joists,,,,,Wood shakes,Dark,Board insulation,R-8,18B-8 wd,18B-8,,6039.968705509027
Ceiling below roof joists,,,,,Wood shakes,Dark,Board insulation,R-10,18B-10 wd,18B-10,,8839.537040681731
Ceiling below roof joists,,,,,Wood shakes,Light,None,,18B-0 wl,18B-0,,3882.0243543592305
Ceiling below roof joists,,,,,Wood shakes,Light,Blanket or loose fill,R-11,18B-11 wl,18B-11,,6628.867676771959
Ceiling below roof joists,,,,,Wood shakes,Light,Blanket or loose fill,R-13,18B-13 wl,18B-13,,6481.414659925744
Ceiling below roof joists,,,,,Wood shakes,Light,Blanket or loose fill,R-15,18B-15 wl,18B-15,,7533.081616347525
Ceiling below roof joists,,,,,Wood shakes,Light,Blanket or loose fill,R-19,18B-19 wl,18B-19,,7159.912775885472
Ceiling below roof joists,,,,,Wood shakes,Light,Blanket or loose fill,R-21,18B-21 wl,18B-21,,7724.222357516695
Ceiling below roof joists,,,,,Wood shakes,Light,Blanket or loose fill,R-30,18B-30 wl,18B-30,,6865.065599134613
Ceiling below roof joists,,,,,Wood shakes,Light,Blanket or loose fill,R-38,18B-38 wl,18B-38,,8279.931381470275
Ceiling below roof joists,,,,,Wood shakes,Light,Board insulation,R-2,18B-2 wl,18B-2,,5493.153111878104
Ceiling below roof joists,,,,,Wood shakes,Light,Board insulation,R-3,18B-3 wl,18B-3,,8164.8993515192715
Ceiling below roof joists,,,,,Wood shakes,Light,Board insulation,R-4,18B-4 wl,18B-4,,6453.9981360140355
Ceiling below roof joists,,,,,Wood shakes,Light,Board insulation,R-5,18B-5 wl,18B-5,,7983.520702223006
Ceiling below roof joists,,,,,Wood shakes,Light,Board insulation,R-6,18B-6 wl,18B-6,,5548.881790762027
Ceiling below roof joists,,,,,Wood shakes,Light,Board insulation,R-8,18B-8 wl,18B-8,,5667.543243037007
Ceiling below roof joists,,,,,Wood shakes,Light,Board insulation,R-10,18B-10 wl,18B-10,,5910.720118897753
